имя,фамилия,год рождения,место проживания,место работы,средняя зарплата в год,образование,судимости
Fatima,Султанов,1992,Токтогул,IT Studio,43889,Среднее специальное,нету
Ирина,Васильев,1960,Токио,АО Техно,56820,Бакалавр,нету
Гульзат,Ершов,1951,Париж,IT Studio,37554,Неполное высшее,нету
Виктор,Кузнецов,1991,Сеул,Университет,37760,Среднее специальное,нету
Татьяна,Гусев,1941,Ош,Ресторан,71772,Магистр,нету
Ольга,Rahman,1973,Мехико,Университет,54963,Магистр,есть
Екатерина,Кадыров,1955,Ош,Салон Красоты,55150,Магистр,есть
John,Lopez,1943,Казань,Банк,58276,Бакалавр,нету
Sophia,Федоров,1944,Ереван,Салон Красоты,73035,Бакалавр,нету
Ali,Козлов,1951,Кант,Global Tech,40257,Среднее специальное,нету
Carlos,Сидоров,1988,Токио,ТранспортСервис,73761,Бакалавр,нету
Hassan,Асанов,1989,Кант,Фабрика,31042,Среднее,нету
Ahmed,Wang,1985,Стамбул,ООО Строй,67549,Бакалавр,нету
Жаныбек,Li,1947,Стамбул,Ресторан,100706,Доктор,нету
Виктор,Киселев,1970,Тбилиси,GreenFarm,33902,Неполное высшее,нету
Чыңгыз,Hernandez,1958,Тбилиси,Нет места работы,76654,Магистр,нету
Виктор,Martinez,1944,Нарын,Нет места работы,37004,Среднее,нету
Нурия,Орлов,1956,Москва,Компания А,53045,Бакалавр,нету
Юлия,Ершов,1954,Сеул,Ресторан,45969,Среднее специальное,нету
Мээрим,Жолдошев,1981,Каракол,Нет места работы,112661,Доктор,нету
Виктор,Singh,1985,Кызыл-Кыя,IT Studio,54692,Бакалавр,нету
Алексей,Ali,1990,Сеул,Нет места работы,110760,Доктор,нету
Ксения,Hernandez,1953,Мехико,ТранспортСервис,52690,Среднее специальное,нету
Кирилл,Васильев,1982,Екатеринбург,ТранспортСервис,33858,Среднее,нету
Марина,Иванов,1946,Казань,Салон Красоты,44393,Среднее специальное,нету
Нурзат,Молдокулов,2009,Казань,нет места работы,0,Среднее,нету
Ali,Ali,1968,Талас,Нет места работы,36373,Среднее специальное,нету
Бакыт,Павлов,1949,Москва,MegaCorp,43598,Среднее,нету
Екатерина,Ниязов,2001,Париж,Салон Красоты,32442,Среднее,нету
Анна,Кадыров,1966,Чолпон-Ата,MegaCorp,40530,Среднее специальное,нету
Данияр,Жолдошев,1970,Токтогул,Медцентр,30984,Среднее,нету
Алексей,Anderson,1951,Жалал-Абад,ГК Ромашка,61813,Магистр,нету
Кирилл,Токтосунов,1950,Алматы,Нет места работы,86792,Магистр,нету
Бакыт,Васильев,2009,Казань,нет места работы,0,Среднее,нету
Нурзат,Эргешов,1963,Екатеринбург,Фабрика,38230,Среднее,нету
Светлана,Зайцев,1950,Берлин,GreenFarm,37040,Неполное высшее,нету
Павел,Абдыкадыров,2006,Новосибирск,GreenFarm,122101,Доктор,нету
Ahmed,Жолдошев,1950,Казань,Global Tech,84079,Магистр,нету
Юлия,Гусев,1997,Талас,Ферма,64700,Магистр,нету
William,Соколов,1995,Чолпон-Ата,Фабрика,99282,Доктор,нету
Егор,Васильев,1989,Баку,Университет,51584,Среднее специальное,нету
Иван,Kim,1993,Токтогул,ГК Ромашка,51716,Среднее специальное,нету
Emma,Зайцев,1976,Сеул,Ресторан,47135,Среднее специальное,нету
Lucas,Garcia,1944,Талас,Ресторан,34068,Неполное высшее,нету
Нурия,Абдрахманов,1946,Нью-Йорк,Компания А,49892,Среднее специальное,нету
Айнура,Карабаев,1975,Пекин,ООО Строй,38311,Среднее специальное,нету
Maria,Асанов,1974,Нью-Йорк,Ферма,51521,Среднее специальное,нету
Robert,Martinez,2006,Сеул,ИП Сидоров,27992,Среднее специальное,есть
Hassan,Johnson,1957,Стамбул,Нет места работы,66613,Магистр,нету
Алиса,Козлов,1971,Ош,Фабрика,42278,Среднее специальное,нету
Fatima,Gonzalez,1990,Лондон,Нет места работы,78146,Магистр,нету
Виктор,Garcia,2010,Санкт-Петербург,нет места работы,0,Неполное высшее,нету
Бакыт,Васильев,1976,Бишкек,Ферма,50566,Среднее специальное,нету
Ксения,Егоров,1974,Лондон,Школа №1,29443,Среднее специальное,есть
Елена,Киселев,1941,Кызыл-Кыя,Фабрика,40130,Неполное высшее,нету
Нурзат,Молдокулов,1998,Кант,Ресторан,42660,Неполное высшее,нету
Алексей,Nguyen,1987,Баку,ГК Ромашка,63297,Бакалавр,нету
Мээрим,Шаршеев,1981,Сеул,IT Studio,36423,Неполное высшее,нету
Wei,Абдрахманов,1947,Токио,Компания А,80639,Магистр,нету
Сергей,Lopez,1977,Кант,GreenFarm,81424,Магистр,нету
Lucas,Титов,1983,Нью-Йорк,Нет места работы,73612,Бакалавр,нету
Чыңгыз,Gonzalez,1978,Сеул,IT Studio,31597,Среднее,нету
Елена,Курманалиев,1963,Берлин,ООО Строй,82462,Магистр,нету
Айгерим,Taylor,1982,Санкт-Петербург,Нет места работы,34303,Неполное высшее,нету
Noah,Rahman,1949,Алматы,Ресторан,76301,Магистр,нету
Robert,Лебедев,1959,Каракол,Университет,92113,Доктор,нету
Станислав,Соколов,2002,Москва,Школа №1,62576,Бакалавр,нету
Дарья,Воробьев,1960,Алматы,Салон Красоты,66982,Бакалавр,нету
Michael,Anderson,2001,Казань,Школа №1,42890,Среднее,нету
Yuki,Титов,1942,Берлин,ТранспортСервис,34646,Среднее,нету
Марина,Абдыкадыров,2004,Тбилиси,Нет места работы,31260,Неполное высшее,есть
Aisha,Kim,2007,Москва,Нет места работы,42124,Среднее специальное,нету
Артур,Воробьев,1991,Бишкек,Школа №1,42742,Неполное высшее,нету
Кирилл,Гусев,1986,Париж,Фабрика,45951,Бакалавр,есть
Андрей,Лебедев,1953,Лондон,Университет,48489,Магистр,есть
Juan,Мамытов,2000,Париж,IT Studio,36192,Среднее,нету
Анна,Kim,1974,Ереван,ГК Ромашка,64022,Бакалавр,нету
Ирина,Бектуров,1954,Токио,Фабрика,42030,Среднее,нету
Алиса,Байгазиев,1992,Жалал-Абад,Нет места работы,34909,Среднее,нету
Алексей,Петров,1951,Мехико,ИП Сидоров,41291,Среднее,нету
Максим,Зайцев,1972,Лондон,Университет,34246,Неполное высшее,нету
Виктор,Попов,1977,Санкт-Петербург,ГК Ромашка,85538,Магистр,нету
Михаил,Петров,1957,Берлин,Фабрика,72930,Бакалавр,нету
Екатерина,Эргешов,1983,Талас,Ресторан,40017,Среднее,нету
Ali,Taylor,1961,Токтогул,Банк,31683,Среднее,нету
Ali,Hernandez,1996,Талас,Медцентр,63329,Бакалавр,нету
Omar,Семенов,1992,Екатеринбург,Global Tech,41120,Среднее,нету
Lucas,Hernandez,1968,Берлин,ГК Ромашка,73514,Магистр,нету
Нурлан,Rodriguez,1984,Берлин,MegaCorp,73260,Бакалавр,нету
